SampleID	CONTIG_COUNT	TOTAL_LENGTH	MIN	MAX	MEDIAN	MEAN	L50	N50	L90	N90	GC%	T2T_SCAFFOLDS	TELOMERE_FWD	TELOMERE_REV	Telomeres_Found	BUSCO_Complete	BUSCO_Single	BUSCO_Duplicate	BUSCO_Fragmented	BUSCO_Missing	BUSCO_NumGenes
Rhodotorula_sp._DBVPG7947.flye.medaka	105	35550004	651	5554115	103060	338571.47	4	3901920	48	127914	54.97	NA	5	7	12	93.3	74.4	18.9	1.1	5.6	1764
Rhodotorula_sp._DBVPG7947.flye.pilon	105	35522506	653	5554115	102906	338309.58	4	3901920	48	127655	54.92	NA	5	7	12	95.4	59.6	35.8	0.7	3.9	1764
Rhodotorula_sp._DBVPG7947.raven	37	23639852	18515	4971620	72112	638914.92	4	2231210	13	500084	49.46	NA	NA	NA	NA	91.0	89.6	1.4	1.8	7.2	1764
Rhodotorula_sp._DBVPG7947.raven.medaka	37	23644637	18538	4971485	72232	639044.24	4	2231366	13	499655	49.46	NA	NA	NA	NA	91.7	89.5	2.2	1.5	6.8	1764
Rhodotorula_sp._DBVPG7947.raven.pilon	37	23644004	18527	4971480	72196	639027.14	4	2231366	13	499655	49.47	NA	NA	NA	NA	91.8	89.3	2.5	1.5	6.7	1764
Rhodotorula_sphaerocarpa_Y7192.canu	25	17902947	13003	1939288	752058	716117.88	7	1154350	15	604757	63.20	15	16	17	33	96.7	96.3	0.4	0.6	2.7	1764
Rhodotorula_sphaerocarpa_Y7192.canu.medaka	25	17912092	13045	1940194	752489	716483.68	7	1154958	15	605100	63.21	15	16	17	33	97.7	97.3	0.4	0.4	1.9	1764
Rhodotorula_sphaerocarpa_Y7192.canu.pilon	25	17911580	13045	1940151	752457	716463.20	7	1154935	15	605092	63.21	15	16	17	33	97.8	97.5	0.3	0.3	1.9	1764
Rhodotorula_sphaerocarpa_Y7192.flye	26	17605093	2697	1939768	752228	677118.96	7	1154655	14	655100	63.40	11	12	15	27	97.3	97.1	0.2	0.4	2.3	1764
Rhodotorula_sphaerocarpa_Y7192.flye.medaka	26	17589924	2697	1940225	752500	676535.54	7	1155006	14	655300	63.42	11	12	15	27	97.8	97.6	0.2	0.4	1.8	1764
Rhodotorula_sphaerocarpa_Y7192.flye.pilon	26	17587804	2697	1940178	752469	676454.00	7	1154976	14	655276	63.42	11	12	15	27	97.8	97.7	0.1	0.3	1.9	1764
Rhodotorula_sphaerocarpa_Y7192.raven	19	17609786	19621	1938669	951281	926830.84	7	1155372	14	655532	63.48	3	6	8	14	97.4	97.1	0.3	0.4	2.2	1764
Rhodotorula_sphaerocarpa_Y7192.raven.medaka	19	17611083	18623	1940099	950945	926899.11	7	1154746	14	655167	63.48	3	6	8	14	97.7	97.4	0.3	0.4	1.9	1764
Rhodotorula_sphaerocarpa_Y7192.raven.pilon	19	17610611	18593	1940024	950921	926874.26	7	1154714	14	655089	63.48	3	6	8	14	97.9	97.6	0.3	0.3	1.8	1764
